,Close
0,40.91
1,40.97
2,41.53
3,43.21
4,43.42
5,42.98
6,41.87
7,40.89
8,39.9
9,40.11
10,35.18
11,34.33
12,33.74
13,34.17
14,34.87
15,34.49
16,35.17
17,35.09
18,35.05
19,34.38
20,35.0
21,34.25
22,33.54
23,32.92
24,33.02
25,33.0
26,32.5
27,32.51
28,32.04
29,32.72
30,33.02
31,32.75
32,32.76
33,32.39
34,33.16
35,33.15
36,33.01
37,32.74
38,32.06
39,32.18
40,31.7
41,31.45
42,31.57
43,31.43
44,30.99
45,30.28
46,30.58
47,30.15
48,30.99
49,30.53
50,30.13
51,30.07
52,30.44
53,30.11
54,30.75
55,31.83
56,31.77
57,31.45
58,32.39
59,32.56
60,32.42
61,32.26
62,31.89
63,32.1
64,32.11
65,32.79
66,32.27
67,32.55
68,31.39
69,31.1
70,31.13
71,30.97
72,31.3
73,33.54
74,33.37
75,32.89
76,33.01
77,31.99
78,33.0
79,33.2
80,32.78
81,32.08
82,31.85
83,32.17
84,32.19
85,32.66
86,32.87
87,32.49
88,32.09
89,30.99
90,30.81
91,31.03
92,30.97
93,30.11
94,29.0
95,29.53
96,30.46
97,30.76
98,31.79
99,32.92
100,33.02
101,32.0
102,31.59
103,31.99
104,31.52
105,30.82
106,30.7
107,30.54
108,30.45
109,30.37
110,29.78
111,29.65
112,29.62
113,30.79
114,30.36
115,30.35
116,30.6
117,31.06
118,30.68
119,31.37
120,31.55
121,31.51
122,31.92
123,32.97
124,33.0
125,33.3
126,32.47
127,33.11
128,32.5
129,32.85
130,33.17
131,33.38
132,32.23
133,32.08
134,31.84
135,32.24
136,25.2
137,25.27
138,25.89
139,26.94
140,26.95
141,27.08
142,26.7
143,27.47
144,27.14
145,26.94
146,26.63
147,26.9
148,26.99
149,27.08
150,27.44
151,27.22
152,27.49
153,27.5
154,27.26
155,28.17
156,28.39
157,28.91
158,29.78
159,28.9
160,29.26
161,28.7
162,28.99
163,28.77
164,28.91
165,28.96
166,29.02
167,28.83
168,29.49
169,29.07
170,28.5
171,27.86
172,28.14
173,28.61
174,29.09
175,29.17
176,29.03
177,29.32
178,29.0
179,25.75
180,25.64
181,25.34
182,25.52
183,25.29
184,25.05
185,24.65
186,25.33
187,25.28
188,24.88
189,24.84
190,25.21
191,25.18
192,25.47
193,25.03
194,24.47
195,24.24
196,24.12
197,24.42
198,24.18
199,24.15
200,22.99
201,23.14
202,23.21
203,23.37
204,23.53
205,24.49
206,25.28
207,25.34
208,25.95
209,26.34
210,25.99
211,26.53
212,26.18
213,26.59
214,26.61
215,26.9
216,27.45
217,27.39
218,27.4
219,27.24
220,27.15
221,26.64
222,26.91
223,26.72
224,27.14
225,28.49
226,28.03
227,27.27
228,27.0
229,27.04
230,27.01
231,26.49
232,26.89
233,27.43
234,26.86
235,26.63
236,26.34
237,26.49
238,26.75
239,26.6
240,26.87
241,26.9
242,26.3
243,26.41
244,25.59
245,25.48
246,25.55
247,25.45
248,25.75
249,25.36
250,25.54
251,25.61
252,26.85
253,27.74
254,27.92
255,27.58
256,28.7
257,29.2
258,29.45
259,29.29
260,29.05
261,28.12
262,27.64
263,27.42
264,26.96
265,28.94
266,28.21
267,28.04
268,27.87
269,28.04
270,28.31
271,28.35
272,28.77
273,28.56
274,29.35
275,29.89
276,30.08
277,29.74
278,29.17
279,29.56
280,30.66
281,31.25
282,31.91
283,32.01
284,31.65
285,31.6
286,32.1
287,32.12
288,30.95
289,30.86
290,30.86
291,30.42
292,30.31
293,30.8
294,30.39
295,30.71
296,29.12
297,29.99
298,29.56
299,29.86
300,30.06
301,29.88
302,30.03
303,30.33
304,31.29
305,31.26
306,31.36
307,31.66
308,31.55
309,31.41
310,31.34
311,31.29
312,31.28
313,31.72
314,31.62
315,31.96
316,31.64
317,31.69
318,31.17
319,31.21
320,31.41
321,31.61
322,32.09
323,28.31
324,27.51
325,27.46
326,27.88
327,28.02
328,28.06
329,28.49
330,28.34
331,28.04
332,27.73
333,28.12
334,28.18
335,30.98
336,30.38
337,30.41
338,30.22
339,29.7
340,30.05
341,29.31
342,28.81
343,29.21
344,28.57
345,29.75
346,29.35
347,28.92
348,28.61
349,28.41
350,28.58
351,28.4
352,28.38
353,28.7
354,28.78
355,28.59
356,28.23
357,27.44
358,26.98
359,27.39
360,27.35
361,27.05
362,27.38
363,27.3
364,27.31
365,28.12
366,27.63
367,27.66
368,27.67
369,27.38
370,27.64
371,27.71
372,27.58
373,27.25
374,27.13
375,26.86
376,27.0
377,26.99
378,27.1
379,27.2
380,26.97
381,26.69
382,26.96
383,26.58
384,26.7
385,27.53
386,26.2
387,26.03
388,25.35
389,24.99
390,24.84
391,24.68
392,24.03
393,23.49
394,23.62
395,23.25
396,23.25
397,23.36
398,22.92
399,22.97
400,23.44
401,23.87
402,23.8
403,23.94
404,24.57
405,23.72
406,23.32
407,22.76
408,23.54
409,23.34
410,23.04
411,23.23
412,23.13
413,23.59
414,23.03
415,22.52
416,22.55
417,22.61
418,22.73
419,23.97
420,24.1
421,24.15
422,23.76
423,23.3
424,23.71
425,23.56
426,23.72
427,24.73
428,24.95
429,25.06
430,25.29
431,25.29
432,26.05
433,25.73
434,26.51
435,26.7
436,26.27
437,26.84
438,27.04
439,26.95
440,27.17
441,27.15
442,27.88
443,28.05
444,28.37
445,28.36
446,27.65
447,28.48
448,27.86
449,26.69
450,28.82
451,29.35
452,29.03
453,29.85
454,30.64
455,30.68
456,31.34
457,33.63
458,31.79
459,30.83
460,31.1
461,30.22
462,31.11
463,31.36
464,29.93
465,27.63
466,26.7
467,25.79
468,24.78
469,26.1
470,25.07
471,25.42
472,26.82
473,26.76
474,26.72
475,25.71
476,26.13
477,25.22
478,25.59
479,26.2
480,26.63
481,26.81
482,26.61
483,26.42
484,25.98
485,25.96
486,25.63
487,25.2
488,24.47
489,24.54
490,24.38
491,24.06
492,23.04
493,23.02
494,23.31
495,23.64
496,24.01
497,24.05
498,23.96
499,23.71
500,23.45
501,23.26
502,23.72
503,23.84
504,23.16
505,23.18
506,22.61
507,22.56
508,24.09
509,23.36
510,23.7
511,22.91
512,21.95
513,21.22
514,20.78
515,19.92
516,20.01
517,21.69
518,21.94
519,20.78
520,20.81
521,19.05
522,19.18
523,28.38
524,29.33
525,28.98
526,28.57
527,29.04
528,29.2
529,29.87
530,29.57
531,29.88
532,29.98
533,29.66
534,29.01
535,28.83
536,28.42
537,28.42
538,28.13
539,28.22
540,28.37
541,28.15
542,27.78
543,27.77
544,28.06
545,28.67
546,28.7
547,29.03
548,28.51
549,29.0
550,28.45
551,27.5
552,26.71
553,25.85
554,27.66
555,27.07
556,27.66
557,27.52
558,28.73
559,28.49
560,28.09
561,28.99
562,28.93
563,28.5
564,27.82
565,28.13
566,28.36
567,27.7
568,27.7
569,27.77
570,28.59
571,28.34
572,27.8
573,28.17
574,28.31
575,28.03
576,28.43
577,28.55
578,28.54
579,28.08
580,27.3
581,26.8
582,26.43
583,27.36
584,27.41
585,26.81
586,28.67
587,24.37
588,25.72
589,25.64
590,26.22
591,25.93
592,25.26
593,26.56
594,27.14
595,27.75
596,27.66
597,27.68
598,27.48
599,27.33
600,27.53
601,27.72
602,27.0
603,27.16
604,27.07
605,26.76
606,26.4
607,26.15
608,26.85
609,26.36
610,26.44
611,26.58
612,26.4
613,26.15
614,23.52
615,23.47
616,23.54
617,23.25
618,22.91
619,22.73
620,21.99
621,21.45
622,22.04
623,22.01
624,21.37
625,21.33
626,20.66
627,20.2
628,20.88
629,21.35
630,23.91
631,24.64
632,23.82
633,23.5
634,23.57
635,22.57
636,21.54
637,22.48
638,22.44
639,22.45
640,21.67
641,21.4
642,20.39
643,20.53
644,21.13
645,20.12
646,20.15
647,20.03
